circo,sensibilite
03-01,PCF
04-01,EELV
05-01,PS
05-02,PS
06-02,FI
07-01,PS
09-02,PS
10-03,PS
11-01,FI
11-02,EELV
11-03,PS
12-02,FI
13-01,PS
13-02,PS
13-03,EELV
13-09,PS
13-11,PS
13-13,PCF
13-15,FI
13-16,PCF
14-02,PS
16-01,FI
16-03,PS
17-02,EELV
17-03,PS
18-02,PCF
21-01,PS
21-02,EELV
22-01,FI
22-04,FI
22-05,FI
24-01,FI
24-02,PS
24-03,PS
24-04,EELV
25-01,FI
25-02,EELV
25-04,PS
26-01,PS
26-02,FI
27-02,PS
27-04,PS
29-01,EELV
29-04,EELV
29-06,PS
29-07,FI
30-01,FI
30-03,PCF
30-04,PS
30-06,EELV
31-01,FI
31-02,FI
31-03,FI
31-06,PS
31-08,PS
31-09,EELV
31-10,PS
32-02,PS
33-01,EELV
33-02,EELV
33-03,FI
33-04,PS
33-05,PS
33-06,PS
33-07,PS
33-12,FI
34-03,PS
34-04,FI
34-05,PS
34-08,FI
35-01,FI
35-02,EELV
35-03,PS
35-04,FI
37-01,EELV
37-04,PS
38-02,EELV
38-03,FI
38-05,EELV
38-06,FI
38-09,FI
38-10,FI
40-03,PS
42-01,PS
42-02,FI
44-03,FI
44-04,EELV
44-08,FI
44-10,FI
45-02,EELV
45-04,PCF
46-02,PS
47-02,PS
48-01,PS
49-01,EELV
49-02,FI
49-07,PS
53-01,PS
54-01,PS
54-02,PS
54-03,FI
54-06,FI
56-05,EELV
57-08,FI
58-02,PS
59-01,FI
59-02,FI
59-04,PS
59-07,EELV
59-08,FI
59-09,EELV
59-11,PS
59-17,PS
60-03,FI
60-05,PS
61-01,PS
62-05,PS
62-08,PS
63-01,FI
63-02,PS
63-03,EELV
63-05,PCF
64-05,PS
65-01,FI
65-02,PS
66-01,FI
66-03,FI
66-04,PS
67-01,EELV
67-02,FI
67-03,PS
69-02,EELV
69-04,PS
69-07,FI
69-12,EELV
69-13,FI
69-14,FI
72-04,FI
73-04,FI
75-01,FI
75-02,PS
75-03,EELV
75-11,PS
75-12,PCF
75-13,EELV
76-01,PS
76-03,PCF
76-04,FI
76-05,PS
76-06,PCF
76-08,PCF
77-06,FI
77-07,FI
77-08,EELV
77-09,PS
77-10,FI
78-01,FI
78-06,FI
78-08,EELV
78-09,PS
78-11,FI
78-12,EELV
79-01,PS
79-02,EELV
80-02,FI
81-02,FI
82-02,FI
84-01,FI
84-02,PS
84-04,FI
84-05,EELV
86-01,EELV
86-02,FI
87-01,FI
87-02,PS
87-03,FI
89-01,EELV
90-02,FI
91-01,FI
91-02,FI
91-03,EELV
91-05,EELV
91-06,PS
91-07,FI
91-09,EELV
91-10,FI
92-04,EELV
92-05,PS
92-08,PS
92-09,EELV
92-10,PS
92-13,PS
93-03,FI
93-04,PCF
93-05,FI
93-08,PS
93-12,FI
94-04,FI
94-06,EELV
95-01,FI
95-02,PS
95-03,PCF
95-04,FI
95-06,FI
95-07,PS
95-09,FI
95-10,FI
